title,price,count,rating,info_dict
森马（Semir）棉服男2023冬季日常简约工装风潮流舒适温暖宽松外套109723112106,,1000+,99%,"{'商品名称': '森马109723112106', '商品编号': '100067630005', '商品毛重': '0.66kg', '商品产地': '中国大陆', '货号': '109723112106', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '穿着方式': '开衫', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青少年，青年', '流行元素': '多口袋', '版型': '宽松型', '领型': '连帽', '填充物': '涤纶(聚酯纤维)', '衣长': '常规款', '适用场景': '旅行，学校', '风格': '休闲风', '休闲风': '简约风'}"
木林森（MULINSEN）棉衣男百搭中长款连帽棉服男冬季士休闲保暖棉袄外套男装,,1万+,95%,"{'商品名称': '木林森棉服', '商品编号': '100008972609', '商品毛重': '0.8kg', '商品产地': '福建泉州', '货号': '13F194100180M', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '上市时间': '2020年冬季', '领型': '连帽', '穿着方式': '开衫', '填充物': '涤纶(聚酯纤维)', '衣长': '中长款', '厚度': '厚款', '衣门襟': '拉链', '图案': '纯色', '适用人群': '青少年，青年', '风格': '休闲风', '休闲风': '简约风'}"
Lee Cooper高端轻奢羽绒服男短款立领宽松面包服冬季保暖时尚休闲运动外套男 卡其羽绒服 4XL码,699.00,200+,97%,"{'商品名称': 'Lee Cooper高端轻奢羽绒服男短款立领宽松面包服冬季保暖时尚休闲运动外套男 卡其羽绒服 4XL码', '商品编号': '10067107647943', '店铺': 'Lee Cooper若迈风专卖店', '商品毛重': '500.00g', '货号': 'FDLASJF-1464311', '材质': '涤纶(聚酯纤维)100%', '领型': '立领', '版型': '宽松型', '绒子含量': '90%-95%', '流行元素': '徽章，简约', '衣长': '短款', '厚度': '加厚', '适用人群': '青年，中年，青少年', '充绒量': '100-149g', '穿着方式': '开衫', '风格': '百搭风', '上市时间': '2022年冬季', '图案': '纯色，字母', '适用场景': '学校，居家'}"
卡帝乐鳄鱼（CARTELO）外套男2023秋冬季夹克男士工装连帽休闲冲锋男衣服装 浅蓝色 XL,168.00,2万+,96%,"{'商品名称': '卡帝乐鳄鱼夹克', '商品编号': '100008770839', '商品毛重': '0.765kg', '商品产地': '中国福建省', '货号': 'C-1013KDLNZ601ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '上市时间': '2023年秋季', '厚度': '常规', '适用人群': '青年，青少年', '流行元素': '印花，多口袋', '领型': '连帽', '版型': '标准型', '衣长': '常规款', '图案': '字母，拼色', '适用场景': '旅行，学校', '风格': '日韩风', '日韩风': '韩版'}"
袋鼠（DaiShu）夹克外套男棒球服宽松连帽运动防风衣服DCZ JN1017 黑色加绒 XL,,2000+,96%,"{'商品名称': '袋鼠夹克', '商品编号': '100071092239', '商品毛重': '0.58kg', '商品产地': '中国福建', '货号': 'DCZ JN1017JR', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '春季，秋季', '衣长': '常规款', '领型': '连帽', '流行元素': '简约，车缝线', '版型': '宽松型', '厚度': '加绒', '上市时间': '2023年春季', '图案': '纯色，字母', '适用场景': '旅行，学校', '风格': '潮流风', '潮流风': '朋克风'}"
阿迪达斯 （adidas）男装冬季运动服neo连帽防风保暖棉服HD4677 A/L,,100+,93%,"{'商品名称': '阿迪达斯HD4677', '商品编号': '100070735732', '商品毛重': '0.6kg', '商品产地': '中国大陆', '货号': 'HD4677', '领型': '连帽', '适用季节': '冬季', '上市时间': '2023年秋季', '衣长': '常规款'}"
NASA MARVEL冲锋衣男秋冬三合一防风加厚连帽外套户外登山情侣装 灰白色 XL,,1万+,95%,"{'商品名称': 'NASA MARVELA3-03-23658', '商品编号': '100063115296', '商品毛重': '1.08kg', '商品产地': '中国大陆', '货号': 'dagan-23658 -04', '领型': '连帽', '材质': '涤纶(聚酯纤维)100%', '厚度': '厚款', '版型': '标准型', '衣长': '常规款', '衣门襟': '拉链', '上市时间': '2023年秋季', '风格': '休闲风', '休闲风': '简约风'}"
NASA MARVEL羽绒服男冬季外套加绒加厚潮牌保暖面包服立领百搭休闲情侣装,,2000+,98%,"{'商品名称': 'NASA MARVELfeifan-2211', '商品编号': '100067087069', '商品毛重': '0.74kg', '商品产地': '中国大陆', '货号': 'feifan-2211 -09', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '衣长': '常规款', '厚度': '厚款', '适用人群': '青年，中年', '填充物': '鸭绒', '充绒量': '100g以下', '风格': '休闲风', '上市时间': '2023年秋季', '穿着方式': '开衫', '领型': '立领'}"
Lee Cooper冬季保暖90白鸭绒男士羽绒服宽松潮牌加厚面包服休闲短款工装外套 军绿色 XL 合适体重150-170斤,,65,97%,"{'商品名称': 'Lee Cooper冬季保暖90白鸭绒男士羽绒服宽松潮牌加厚面包服休闲短款工装外套 军绿色 XL 合适体重150-170斤', '商品编号': '10089507401976', '店铺': 'Lee Cooper若迈风专卖店', '商品毛重': '500.00g', '货号': 'GTSLKPRMF-09-0023', '绒子含量': '90%-95%', '材质': '涤纶(聚酯纤维)100%', '衣长': '常规款', '版型': '宽松型', '充绒量': '100-149g', '流行元素': '徽章，多口袋', '上市时间': '2023年秋季', '厚度': '加厚', '适用人群': '青少年', '填充物': '鸭绒', '穿着方式': '开衫', '领型': '立领', '含绒量': '90%及以上', '图案': '纯色', '适用场景': '居家', '风格': '复古风', '复古风': '港风'}"
吉普（JEEP）冲锋衣夹克男秋冬季防风外套男三合一男装 灰色/男款 XL,239.00,2000+,95%,"{'商品名称': '吉普夹克', '商品编号': '100062832916', '商品毛重': '0.9kg', '商品产地': '中国福建省', '货号': 'Q-WUDJP218ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '可脱卸帽', '适用人群': '青年，青少年', '流行元素': '车缝线', '厚度': '常规', '风格': '百搭风', '衣门襟': '拉链', '图案': '拼色', '上市时间': '2023年冬季'}"
