title,price,count,rating,info_dict
Куртка зимняя с капюшоном демисезонная,4220,65,4.5,"{'Цвет': 'хаки', 'Размер на модели': '160', 'Рост модели на фото': '144 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '64-54-75', 'Утеплитель': 'синтепон', 'Температурный режим': 'до -20 °C', 'Материал подкладки': 'флис', 'Страна производства': 'Китай', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'удлиненная спинка', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'карманы', 'Тип карманов': 'С клапанами', 'Сезон': 'демисезон; зима', 'Артикул': '177133539', 'Состав': 'полиэстер 100%'}"
Куртка женская зимняя,3172,18,5,"{'Утеплитель': 'Холлофайбер', 'Температурный режим': 'от +5 °C до -35 °C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'Холлофайбер', 'Страна производства': 'Россия', 'Вид застежки': 'молния', 'Опции капюшона': 'несъемный капюшон', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'заклепки; карманы', 'Сезон': 'зима; демисезон', 'Артикул': '197370743', 'Состав': 'Полиэстер, Вискоза'}"
Дубленка авиатор,9760,762,4.7,"{'Рост модели на фото': '170 см', 'Утеплитель': 'шерсть', 'Страна производства': 'Россия', 'Материал подкладки': '50% шерсть + 50% вискоза', 'Вид застежки': 'молния', 'Особенности модели': 'теплая зимняя стильная куртка авиатор , пилот', 'Опции капюшона': 'без капюшона', 'Тип карманов': 'прорезные', 'Сезон': 'демисезон; зима', 'Артикул': '180016706', 'Состав': 'полиуретан 100%'}"
Куртка утепленная,5772,71,4.6,"{'Цвет': 'темно-синий', 'Утеплитель': 'полиэстер', 'Температурный режим': 'до -25°C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'каждый день', 'Опции капюшона': 'несъемный капюшон', 'Декоративные элементы': 'без элементов', 'Сезон': 'зима', 'Артикул': '181843236', 'Состав': 'полиэстер'}"
Куртка зимняя утепленная,10071,164,4.7,"{'Размер на модели': '50', 'Рост модели на фото': '181 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '108-80-94', 'Утеплитель': 'пух', 'Температурный режим': 'от 0 °C до -30 °C', 'Плотность синтетического утеплителя': '210 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния', 'Особенности модели': 'ветрозащита', 'Опции капюшона': 'съемный капюшон', 'Опции опушки': 'съемная опушка', 'Декоративные элементы': 'карманы', 'Тип карманов': 'накладные', 'Сезон': 'зима', 'Артикул': '40970645', 'Состав': 'полиэстер'}"
Пальто,13600,131,4.4,"{'Утеплитель': 'синтепон', 'Температурный режим': 'до -10', 'Материал подкладки': 'флис; полиэстер', 'Страна производства': 'Турция', 'Вид застежки': 'пуговицы', 'Особенности модели': 'большие размеры, для высоких, для невысоких, подарки мужчинам, полупальто, для мальчика, подростка', 'Опции капюшона': 'без капюшона', 'Опции опушки': 'без опушки', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'Подклад из флиса, с внутренними карманами', 'Сезон': 'зима; демисезон', 'Артикул': '189082964', 'Состав': 'шерсть 55%, полиэстер 45%'}"
Пальто теплое оверсайз демисезонное,4048,71,4.5,"{'Размер на модели': 'S-42', 'Рост модели на фото': '174 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '83-62-92', 'Утеплитель': 'без утеплителя', 'Температурный режим': 'от +10 °C до -5 °C', 'Плотность синтетического утеплителя': '330 г/кв.м', 'Материал подкладки': 'жаккард; полиэстер', 'Страна производства': 'Киргизия', 'Вид застежки': 'пуговицы; пояс', 'Особенности модели': 'двубортное', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '116 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'без элементов', 'Тип карманов': 'накладные', 'Конструктивные элементы': 'карман', 'Сезон': 'демисезон; зима; круглогодичный', 'Артикул': '181416758', 'Состав': 'Хлопок 50%, Вискоза 30%, Полиэстер 20%'}"
Пальто зимнее длинное утепленное с капюшоном,9355,110,4.8,"{'Размер на модели': '50', 'Рост модели на фото': '189 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '106-79-97', 'Утеплитель': 'Био-пух (BIO-Down MAX)', 'Температурный режим': 'От +5°C до -20°C', 'Плотность синтетического утеплителя': '300 г/кв.м', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Китай', 'Вид застежки': 'молния; кнопки', 'Особенности модели': 'ветрозащита', 'Опции капюшона': 'несъемный капюшон', 'Длина изделия по спинке': '108 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'рукав с хлястиком на липучке', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'боковые разрезы на кнопках', 'Сезон': 'зима', 'Артикул': '44470703', 'Состав': 'Био-пух (BIO-Down MAX) - 100% полиэстер, Верх: 100% полиэстер, водоотталкивающее покрытие COMFORTDRY'}"
Пальто осень длинное шерсть,10550,342,4.4,"{'Размер на модели': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '89-64-90', 'Утеплитель': 'шерсть', 'Температурный режим': 'от +10 °C до -5 °C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'пуговицы; скрытые пуговицы', 'Особенности модели': 'Пальто женское', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '115 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'Разрезы', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'пояс', 'Сезон': 'круглогодичный; демисезон', 'Артикул': '172378580', 'Состав': 'шерсть 75%, вискоза 20%, эластан 5%, экомех'}"
Пальто зимнее длинное меховое шерсть,10135,342,4.4,"{'Размер на модели': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото (ОГ-ОТ-ОБ)': '89-64-90', 'Утеплитель': 'шерсть; синтепон', 'Температурный режим': 'от +5 °C до -10 °C', 'Материал подкладки': 'полиэстер', 'Страна производства': 'Россия', 'Вид застежки': 'пуговицы; скрытые пуговицы', 'Особенности модели': 'Пальто женское зимнее', 'Опции капюшона': 'без капюшона', 'Длина изделия по спинке': '111 см', 'Опции опушки': 'без опушки', 'Декоративные элементы': 'Разрезы', 'Тип карманов': 'прорезные', 'Конструктивные элементы': 'пояс', 'Сезон': 'демисезон; зима; круглогодичный', 'Артикул': '179742152', 'Состав': 'шерсть 75%, вискоза 20%, эластан 5%, экомех'}"
